Category,Country,FiscalYear,NumCompanies,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Consumer,Australia,FY2022,137,41.513306569343065,23.258562400911845,40.52,26.711,53.098,-5.582248175182481,44.146618556768345,7.302,-4.049,13.867,-11.24043795620438,61.13776870134367,2.733,-14.141,7.453,-0.9868759124087592,16.519683164652847,3.234,-3.942,7.452,-1.2138540145985404,25.98593706528918,3.772,-4.658,9.807,-19.531912408759126,247.2314673193286,6.642,-12.986,19.542,23.47046715328467,47.25661444994572,11.37,-0.78,31.327,411923.91033174435,1447491.8280533717,47520.3948329213,7198.99151231462,172870.239161851,-14792.228083040656,50264.80961189944,-1195.12835166396,-6308.41116315148,-158.188463131823,372826.64768447634,1461363.9026972414,27324.192233094,6520.87915356016,169838.776416264,1009022.5571002412,2919543.8319466705,126714.207019133,30730.7441204265,671617.748627626,391845.12105860544,1389029.1112493535,23987.184795915,3395.885461066,195047.674146875,357514.320546304,823464.6292094964,62645.032405543,13838.5710399472,279275.424100207,-40105.05756128639,178958.21672688329,-2540.44866708492,-11659.0764068024,-459.930417401573
Consumer,Australia,FY2021,129,41.22632558139535,25.1972235991051,43.515,26.676,54.373,-6.2274496124031,52.426422035914015,7.828,1.743,15.056,-14.58584496124031,55.26140268618035,3.838,-9.676,8.62,-0.38016279069767434,21.23198788824724,3.65,-2.102,8.415,1.6576589147286818,43.31249520062099,4.997,-2.037,11.187,-10.67256589147287,119.8128079489094,9.53,-6.273,25.0,21.65862015503876,52.65455941552749,14.436,-2.312,36.126,411769.2058014591,1528921.6459131134,44287.284651657,6466.11241492144,165078.574468503,-16640.15040031726,56567.36819238105,-1278.35570604548,-5602.55818381478,-210.696149671316,415836.7431908376,1564975.4973529328,32243.964619144,6972.12775674701,202078.272646944,1149635.779232537,3537730.707537738,145841.955346208,34451.1418575733,577777.77789888,423727.0940646393,1425974.0092761365,24205.4610936924,3321.33753256,176939.501838528,385144.9458450649,941425.0778931347,69664.867311048,16309.6517850389,290893.687270448,-39529.237557108056,183860.11861298018,-2125.64023338615,-10998.5643513211,-363.128089613311
Consumer,Australia,FY2020,125,39.310407999999995,24.17039093969181,38.323,25.781,53.29,-0.5353200000000004,26.183882023443353,6.088,-4.473,13.472,-11.926264000000002,37.58114247633118,0.827,-23.195,6.69,0.07783200000000011,17.26794784089227,2.803,-2.95,6.47,-5.169456000000001,71.24732190711497,4.014,-3.445,8.622,-0.20141599999999976,77.68303676280263,4.984,-13.405,17.63,9.803352000000002,35.67412801171314,4.49,-7.915,20.138,344667.9095305698,1304458.8453755903,34568.7097462589,6912.80188877152,143347.136747812,-15839.091890049003,54512.28530150897,-1315.41320059285,-5618.87578487033,-257.845160299977,384065.10505523527,1594860.5216507101,26957.33223354,5997.12441422982,161592.1016586,1000906.3686136061,3165994.108779859,100942.41923946,33935.1726901393,477979.839909672,407826.1561893854,1471246.120595308,23985.472480112,3717.89560962,173704.431818205,358327.127062368,960459.9543824187,47531.75919114,14949.599560836,230217.475392144,-32881.67118893792,145366.45449070036,-2043.28860102299,-12761.321019534,-340.23944697948
Consumer,Australia,FY2019,114,41.90060526315789,22.202711189994073,42.3725,27.968,54.391000000000005,-1.483491228070176,36.7954072616158,7.7275,-2.80125,17.0655,-13.251701754385964,47.60202431434329,3.7365,-7.7385,8.54775,-0.07150000000000023,16.38442126739739,4.2225,-2.7337499999999997,7.8100000000000005,1.2764912280701755,26.926155527582043,6.3055,-2.78825,12.58025,-10.674473684210525,72.57743609538113,7.989,-10.788,17.7085,19.87864035087719,45.103383801196344,7.9575,-0.9595,22.30375,411961.4072599193,1515922.3736212023,44899.9496216654,7708.125806925453,182190.97536355726,-8745.813218950243,22741.283195392014,-1061.10561263619,-5467.8183117413955,-171.4567999161525,210553.2051523782,686500.3993169183,18296.917642734203,4200.866988439195,123099.729451316,862527.3513078918,2325889.751290275,97097.3811897185,30925.536554666225,483764.3788648025,196731.45602143323,495412.65971244377,17436.19407901,1435.282568804,116635.44661277125,409546.62467646966,1122266.259587034,53711.961846927996,15003.645699140427,246090.8027555735,-44134.656438885315,174515.34142549188,-3597.3093206119847,-16821.2241110674,-626.9356720428863
Consumer,Australia,FY2018,104,43.402461538461544,21.882294676871616,43.210499999999996,28.498749999999998,56.53125,6.407778846153847,22.381432816131635,9.380500000000001,2.7037500000000003,16.91525,-4.406615384615384,32.785065448283376,3.615,-4.1965,8.55125,3.4367211538461535,11.608970230665406,5.121,0.889,7.441000000000001,5.890615384615385,18.645274490681015,6.9455,1.0655000000000001,13.3095,-7.54671153846154,64.15554540658812,8.4985,-6.878,18.109750000000002,14.641605769230768,43.08469810073085,8.212499999999999,-0.6355,20.945,386895.3426633594,1500953.5175838098,53339.848308853805,12658.97022719155,186675.63319150274,-8477.964743838942,22703.26145104948,-1163.62708782822,-5617.9543682656895,-254.45426498450377,227098.48585510827,909967.7947526524,16439.15605588285,4929.9186362925,95960.6138515875,991443.5160115095,3310957.601467229,112585.1667342515,31659.933662358977,545097.1339341827,182539.6132499883,494706.7034474193,14329.350637865,1888.2323871337499,101960.428936985,530373.8392141568,1905425.6997299118,63292.529550355,16012.256647837901,259030.1176631515,-46747.31074165082,186880.26214888904,-3903.568887196,-21217.183426529675,-602.5818075949853
Consumer,Australia,FY2025,140,47.22481428571429,32.44921742036442,44.299499999999995,27.94075,60.5955,3.5790357142857143,29.46404215635699,7.8149999999999995,0.8265,16.79775,-5.2280428571428565,33.20785358807061,1.528,-8.0965,7.3374999999999995,0.17007857142857133,12.29102641713391,3.473,-1.82325,6.10975,21.010078571428572,267.3694884693697,4.965,-2.35425,7.7707500000000005,-3.161542857142858,108.79782805207171,6.427,-10.6605,13.979000000000001,7.2905,23.690539697012273,3.3280000000000003,-2.94375,11.172,433489.2880579788,1505413.2970428604,55273.03021473295,10784.23319719465,192787.31058281375,-20830.2284841651,62362.02313675817,-1529.109445766405,-12113.591166628024,-256.848928297556,373292.4262899126,1438398.4680060716,28731.14909295705,6235.762803534798,182000.32588165725,995967.376480077,2843588.1635892782,134370.8358713745,31456.151754636026,669842.8338417405,391677.3686215043,1322467.2977345344,25706.319163865002,2981.0460250593023,209750.70487270574,341415.3505037149,821962.5751942396,69447.9581374994,13103.821385230676,267401.781562822,-38415.20787840202,169952.95706102508,-2091.468352097505,-17226.31418443485,-291.7760099602323
Consumer,Austria,FY2024,6,39.81033333333334,23.384556090624333,45.914,32.514250000000004,46.83,-5.365833333333334,20.535950269520576,5.598,-11.525500000000001,8.63425,-16.973833333333335,27.414306735818716,0.381,-39.76325,3.10475,-4.1915000000000004,11.09684810730807,0.992,-11.44175,3.027,-7.932333333333332,19.089388794708842,1.168,-17.2155,4.2545,-31.903166666666664,124.20059128471257,4.5375,-1.51025,16.703,-7.930499999999999,15.86128409839506,-0.8029999999999999,-23.49475,5.9295,281310.87660172454,408261.670267656,107476.8115983581,46092.85024321595,288244.7499338435,-33172.59747181043,46710.67045560602,-12306.6950896841,-31998.438236426897,-4522.71450243281,261664.56371341192,292434.8835817229,143340.407953555,51180.764069901,320813.231281457,1080744.689933755,1239723.6471288854,345923.491150405,118046.381649102,1991663.2162628467,499591.9059634206,669094.7184438691,144687.338278017,60679.418177785505,639824.851837923,238506.8681890169,514533.9443895269,77232.5142590458,-49821.4693702411,184180.5570498,-74558.83029773344,102894.61153990391,-18406.761043987943,-98345.6650028608,-4443.738743868607
Consumer,Austria,FY2023,7,51.449000000000005,25.864234461621212,42.859,33.438,62.351,-11.638571428571428,38.232542708524946,5.749,-5.312000000000001,7.3495,60.562714285714286,154.96600480447714,1.858,-0.8875,4.420999999999999,-0.12099999999999993,4.32966821559607,-0.452,-0.9175,3.5425,-0.40085714285714297,7.111421727024198,-0.516,-1.0645,5.162,19.453285714285716,37.648120483210946,7.136,4.003500000000001,8.113,4.856428571428572,13.717549894279255,5.765,1.847,11.1925,337522.3814367139,372307.0250636051,125561.893064449,71216.01586802851,523286.30824395653,-16509.322910644765,26346.78218335737,-8758.975133108,-11844.0831933991,-1566.5360514022643,259251.910685069,299684.7388879113,79366.640851158,46817.176950423,385869.34883745597,1072712.236406958,1372167.6891862522,197512.98767034,122687.631221463,1888575.456308515,342264.53969804273,431549.77729434625,126027.412363362,32170.332697137,530776.1654722521,389294.2676614108,507429.7901610022,84510.887561202,47927.23120008,624397.5901705059,-67326.49557524986,114764.73139437134,-9339.73444246459,-58702.8042671222,-2995.72306688593
Consumer,Austria,FY2022,6,55.0615,25.69620148809288,42.304500000000004,38.8025,70.396,-5.233999999999999,20.724725362072554,5.391500000000001,-15.797999999999998,7.6735,50.01266666666667,120.5566410595267,2.368,0.10499999999999998,6.0207500000000005,-0.8411666666666665,6.765500952545118,1.043,-0.276,2.12875,-1.6106666666666667,11.065129697487608,1.2165,-0.28300000000000003,2.85175,217.75266666666667,471.7850772730688,5.169499999999999,4.2299999999999995,16.7485,1.6676666666666662,22.85637244961579,9.0835,6.73925,13.5405,207981.0053637165,246942.8877236003,106183.75289440999,56710.15494880838,226407.36399852776,-5198.960493914646,7083.414963166804,-2235.020480754545,-5420.569940420598,-473.2891590756442,145727.21076105867,160132.0502663666,68645.933500592,34644.918230353505,213948.6479927005,631319.4336425703,953604.0645457722,168121.726987769,108349.6312524465,492049.0005681115,157599.89677772333,195591.88573419824,89115.635320613,25508.977226962503,165518.862822856,231994.24895782198,343761.4558437249,73754.40843727201,44184.658241380996,209964.9993888355,-51017.45245284168,93653.29363217494,-7893.94695370906,-21006.453394298893,-5860.673549110303
Consumer,Austria,FY2021,7,52.78328571428572,24.958248929615497,43.692,36.1615,62.718999999999994,9.618714285714287,8.696401369273971,7.118,6.3685,12.645,56.508714285714284,138.177974859252,2.345,1.3239999999999998,3.5595,1.3661428571428569,2.667211782719466,1.54,0.839,1.6665,1.8049999999999995,3.982453515108494,2.003,1.0415,2.1185,-1.3682857142857148,23.137717962015962,4.079,3.3635,7.9145,8.072857142857142,12.359478692526656,6.751,4.6209999999999996,9.382000000000001,305542.3128987876,322713.9121014852,112294.256027121,75580.78442810819,487086.28564907296,-4764.675350398202,5087.602066739216,-3237.26713165259,-7044.415581938591,-623.9161168968758,272507.39070655254,341939.36628291814,85407.710709918,45943.364056236,345015.353246904,920623.3951614165,1125010.2865142901,193484.590084942,130366.769068083,1479709.997124739,243705.61086272672,277120.52910455153,80819.97046033,33654.611635085,431679.176774291,423409.94999729545,557726.1574179161,90075.059739246,53040.914837746,571141.248927669,-50526.385698873106,72719.3322327581,-7074.2034031473,-62166.3282410889,-3525.8652975726627
Consumer,Austria,FY2020,5,39.5624,8.159978151931536,44.578,31.748,45.096,8.422799999999999,3.9183377802328376,6.857,5.276,9.987,1.6102,0.80419236504707,1.231,1.13,2.281,1.2582,1.6044300421021793,0.757,0.263,1.722,1.7260000000000002,2.2312796328564466,1.079,0.297,2.243,4.445,3.2959626211472726,3.054,2.246,3.887,-6.0436,6.793574157981938,-5.807,-9.864,0.674,360267.1595474687,301630.4968402324,289592.121167409,101909.763157384,487360.066641936,-6503.946884934082,6631.727517649632,-3728.00215913034,-10225.9389707593,-851.788548456733,368184.714422998,356247.33352100354,256151.68191236,97376.14677195,428771.86536839,1167637.3539131463,1068279.3312743197,695854.43412899,189383.48620539,2062426.91095406,318745.7646183376,275457.177682703,242484.40362729,66956.57491183,634582.645889508,551615.648037168,543286.2616059646,287269.72472037,96022.01833182,800145.56560921,-75122.0773265665,75819.48303132794,-16213.6694210263,-167032.947608386,-14802.3950967736
Consumer,Austria,FY2019,5,46.1688,18.82462174281332,40.202,30.458,50.177,7.822000000000001,5.786838100379169,8.697,5.902,11.223,2.6352,6.7568028948608525,3.566,1.039,3.585,0.8713999999999998,3.4603338914041233,1.276,0.617,2.589,0.8815999999999999,5.221808138949573,1.655,0.71,3.432,2.9624,16.786785548162577,9.407,2.122,15.888,-4.3031999999999995,5.140494894462983,-4.81,-7.947,-1.785,378024.5507738414,294107.5915246185,352770.102603339,127238.241412415,499342.287152576,-6660.614413199049,6841.760145336349,-4152.46245765031,-8704.81948364983,-1303.48678123185,336909.7622753334,347359.2709159823,271021.209658542,42914.285703879,354827.740886622,1089516.6323702603,1023664.4446366901,679610.593442106,132199.439743852,1811123.33016535,276442.3615000786,244393.16747472723,237458.197661094,36946.778702525,482435.941415166,544521.051033667,577680.3725725883,283453.03548801,91397.149562664,694235.214692298,-84669.93931054565,77985.78447536344,-51249.1565007821,-167707.311611929,-10427.6180454449
Consumer,Austria,FY2018,5,45.7434,18.888202525386053,36.066,32.151,50.341,8.483,5.638320991217155,9.702,9.109,10.097,2.1766000000000005,4.978875840990614,4.554,4.002,4.614,1.8892000000000002,3.9496024812631463,4.118,0.017,4.372,2.3236000000000003,5.857261291764266,5.392,0.021,6.092,3.0505999999999993,16.520306687225876,9.955,5.619,13.18,-1.3854000000000002,5.221643672254935,-3.46,-5.658,0.365,406248.06584334315,320481.33289707697,380115.954118041,142239.493623964,509193.043098943,-8142.184359386532,8035.602195493496,-3769.63959109075,-12549.5612681828,-2349.01324100844,319876.618463399,328464.923037723,265803.755411351,47947.35571307,308694.756093938,1062194.8433982825,1046709.2951265719,638465.765906812,138043.950741976,1550121.36462289,235660.743049514,197047.5468094844,200804.900368761,41149.48080336,454457.875457421,560139.679719775,642376.9024286176,272506.297201369,81321.273176942,630611.403645192,-80788.7823555875,75443.55256195419,-50130.7741234998,-153259.146309411,-11959.6303693534
Consumer,Austria,FY2025,6,39.67633333333333,23.453563330310576,45.914,31.91125,46.83,-5.777166666666666,20.30449216648594,4.364,-11.525500000000001,8.01725,-17.279333333333337,27.21385347371608,-0.5355,-39.76325,2.6465,-4.560166666666667,10.87062712721253,0.772,-11.44175,1.588,-8.4675,18.76078477169865,1.1055,-17.2155,1.90875,-32.82633333333333,123.93918279229625,1.768,-2.39525,16.20325,-9.8465,14.948679983530319,-6.551,-23.86875,3.4295,260705.66302324456,364472.61687563534,107476.8115983581,46092.85024321595,288244.7499338435,-33024.1953723349,46696.35894469599,-12306.6950896841,-31330.628788787002,-4522.71450243281,253524.71864814393,275813.1649932193,143340.407953555,51180.764069901,320813.231281457,1030285.3227984264,1159097.5954614067,345923.491150405,118046.381649102,1991663.2162628467,480353.1712286719,661727.4033155765,144687.338278017,60679.418177785505,553250.545531554,226834.60132101193,489377.74963046866,77232.5142590458,-49821.4693702411,184180.5570498,-72933.66553013779,102206.6473296716,-18406.761043987943,-91032.42354868031,-4443.738743868607
Consumer,Belgium,FY2024,13,42.311230769230775,17.078160678993356,38.975,28.913,53.37,16.378999999999998,9.133367514441,13.542,9.611,21.29,7.655230769230769,5.879423325382622,9.69,3.771,12.385,5.706615384615385,3.226323760244338,4.474,3.456,6.639,8.027923076923077,4.458034725018128,5.828,5.457,9.945,14.163538461538462,9.972126473444211,12.207,6.965,21.07,6.33176923076923,8.468854051567163,3.666,0.653,9.657,3156179.8117635697,8674084.265380384,184837.894550807,159757.140978292,588315.308317894,-297386.6956943331,962995.9113062753,-5503.42032624702,-27783.2391189993,-2553.0,2320746.6895591295,6168287.801226403,204914.587494074,103131.79421313,778571.0,17590726.70737746,54621690.51167947,1122372.0,331586.085617498,2443938.2966372,5997050.721901432,19159101.469361305,172347.03390714,37968.0,745625.8414124,7377364.685141604,23493314.782817736,321389.37788066,131915.312184454,935782.0,-383391.94261779723,1011428.1401161283,-61529.6889394482,-127232.110766322,-24675.0561826306
Consumer,Belgium,FY2023,13,39.836153846153856,16.402664201263413,34.978,26.043,50.859,16.074384615384613,9.36085032740461,11.001,8.97,22.248,6.407153846153847,6.086293779988883,6.322,1.939,11.444,5.163,3.7140176048627946,3.359,2.52,6.359,7.016846153846154,4.779060140078299,5.199,3.294,7.822,8.366538461538461,8.617849835485778,8.442,4.121,15.396,4.26830769230769,26.025384946194997,4.755,-4.535,7.853,2988987.6115991627,8408724.000911355,184686.867817754,139569.331751202,505487.711719308,-317103.6769857968,1036427.7084542657,-4363.8059837129,-19106.6568312902,-1677.0,2557239.656179677,7046484.738895204,167410.191172416,111412.62293487,751674.0,18663541.54663275,57984018.674252935,1080242.0,362061.456725802,2610478.6108962,6431732.135776302,20766146.388945606,199729.19193627,42968.0,898529.8991394,7960611.240788356,24479572.90639928,725331.048744702,160166.906107758,997015.584972,-434117.4746707107,1219622.7102325014,-28442.0653198675,-106977.0,-21757.3850756719
